iter	Passed	Remaining
0	52	52568
1	53	26590
2	53	17902
3	54	13558
4	55	10953
5	55	9215
6	56	7973
7	56	7040
8	57	6299
9	57	5720
10	58	5259
11	59	4866
12	59	4540
13	60	4238
14	60	3994
15	61	3781
16	62	3591
17	62	3421
18	63	3261
19	63	3126
20	64	3011
21	65	2899
22	65	2794
23	66	2698
24	66	2609
25	67	2527
26	68	2451
27	68	2377
28	69	2311
29	69	2250
30	70	2193
31	70	2141
32	71	2090
33	71	2040
34	72	1995
35	72	1953
36	73	1915
37	74	1877
38	74	1844
39	75	1810
40	76	1779
41	76	1753
42	77	1724
43	78	1695
44	78	1667
45	79	1641
46	79	1616
47	80	1587
48	80	1564
49	81	1542
50	81	1521
